Torch version: 1.5, 1.5.0
dataset = cityscapes
ignore_label = 255
num_classes = 19
cv split val 2 ['train/monchengladbach', 'train/strasbourg', 'train/stuttgart']
mode val found 655 images
cn num_classes 19
cv split train 2 ['val/munster', 'val/lindau', 'val/frankfurt', 'train/aachen', 'train/bochum', 'train/bremen', 'train/cologne', 'train/darmstadt', 'train/dusseldorf', 'train/erfurt', 'train/hamburg', 'train/hanover', 'train/jena', 'train/krefeld', 'train/tubingen', 'train/ulm', 'train/weimar', 'train/zurich']
mode train found 2820 images
cn num_classes 19
Loading centroid file /var/tmp/fastseg-training/assets/uniform_centroids/cityscapes_cv2_tile1024.json
Found 19 centroids
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
Using Cross Entropy Loss
Trunk: mobilenetv3_small
Model params = 1.1M
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
[epoch 0], [iter 1 / 176], [train main loss 6.299214], [lr 0.010000] [batchtime 0]
[epoch 0], [iter 20 / 176], [train main loss 1.398202], [lr 0.010000] [batchtime 0.408]
[epoch 0], [iter 21 / 176], [train main loss 1.223272], [lr 0.010000] [batchtime 0.406]
[epoch 0], [iter 22 / 176], [train main loss 1.104127], [lr 0.010000] [batchtime 0.405]
[epoch 0], [iter 23 / 176], [train main loss 1.058382], [lr 0.010000] [batchtime 0.405]
[epoch 0], [iter 24 / 176], [train main loss 1.109160], [lr 0.010000] [batchtime 0.404]
[epoch 0], [iter 25 / 176], [train main loss 1.037685], [lr 0.010000] [batchtime 0.403]
[epoch 0], [iter 26 / 176], [train main loss 0.943785], [lr 0.010000] [batchtime 0.403]
[epoch 0], [iter 27 / 176], [train main loss 0.999954], [lr 0.010000] [batchtime 0.403]
[epoch 0], [iter 28 / 176], [train main loss 1.002356], [lr 0.010000] [batchtime 0.403]
[epoch 0], [iter 29 / 176], [train main loss 0.884816], [lr 0.010000] [batchtime 0.402]
[epoch 0], [iter 30 / 176], [train main loss 0.884878], [lr 0.010000] [batchtime 0.402]
[epoch 0], [iter 31 / 176], [train main loss 0.798169], [lr 0.010000] [batchtime 0.402]
[epoch 0], [iter 32 / 176], [train main loss 0.723242], [lr 0.010000] [batchtime 0.401]
[epoch 0], [iter 33 / 176], [train main loss 0.637272], [lr 0.010000] [batchtime 0.401]
[epoch 0], [iter 34 / 176], [train main loss 0.489168], [lr 0.010000] [batchtime 0.407]
[epoch 0], [iter 35 / 176], [train main loss 0.393964], [lr 0.010000] [batchtime 0.406]
[epoch 0], [iter 36 / 176], [train main loss 0.352245], [lr 0.010000] [batchtime 0.406]
[epoch 0], [iter 37 / 176], [train main loss 0.368317], [lr 0.010000] [batchtime 0.405]
[epoch 0], [iter 38 / 176], [train main loss 0.390942], [lr 0.010000] [batchtime 0.404]
[epoch 0], [iter 39 / 176], [train main loss 0.390437], [lr 0.010000] [batchtime 0.404]
[epoch 0], [iter 40 / 176], [train main loss 0.374120], [lr 0.010000] [batchtime 0.404]
[epoch 0], [iter 41 / 176], [train main loss 0.324801], [lr 0.010000] [batchtime 0.407]
[epoch 0], [iter 42 / 176], [train main loss 0.251067], [lr 0.010000] [batchtime 0.435]
[epoch 0], [iter 43 / 176], [train main loss 0.175771], [lr 0.010000] [batchtime 0.434]
[epoch 0], [iter 44 / 176], [train main loss 0.135724], [lr 0.010000] [batchtime 0.432]
[epoch 0], [iter 45 / 176], [train main loss 0.120184], [lr 0.010000] [batchtime 0.431]
[epoch 0], [iter 46 / 176], [train main loss 0.094872], [lr 0.010000] [batchtime 0.43]
[epoch 0], [iter 47 / 176], [train main loss 0.104249], [lr 0.010000] [batchtime 0.429]
[epoch 0], [iter 48 / 176], [train main loss 0.046237], [lr 0.010000] [batchtime 0.428]
[epoch 0], [iter 49 / 176], [train main loss 0.048735], [lr 0.010000] [batchtime 0.427]
[epoch 0], [iter 50 / 176], [train main loss -0.021960], [lr 0.010000] [batchtime 0.427]
[epoch 0], [iter 51 / 176], [train main loss 0.041866], [lr 0.010000] [batchtime 0.426]
[epoch 0], [iter 52 / 176], [train main loss 0.060355], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 53 / 176], [train main loss 0.031788], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 54 / 176], [train main loss 0.011968], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 55 / 176], [train main loss -0.014338], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 56 / 176], [train main loss -0.035562], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 57 / 176], [train main loss -0.046014], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 58 / 176], [train main loss -0.088033], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 59 / 176], [train main loss -0.109772], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 60 / 176], [train main loss -0.074426], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 61 / 176], [train main loss -0.029388], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 62 / 176], [train main loss -0.055785], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 63 / 176], [train main loss -0.080848], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 64 / 176], [train main loss -0.082496], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 65 / 176], [train main loss -0.052265], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 66 / 176], [train main loss -0.044410], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 67 / 176], [train main loss -0.055631], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 68 / 176], [train main loss -0.054103], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 69 / 176], [train main loss -0.047941], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 70 / 176], [train main loss -0.062153], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 71 / 176], [train main loss -0.058738], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 72 / 176], [train main loss -0.071337], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 73 / 176], [train main loss -0.082467], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 74 / 176], [train main loss -0.072918], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 75 / 176], [train main loss -0.070834], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 76 / 176], [train main loss -0.088015], [lr 0.010000] [batchtime 0.415]
[epoch 0], [iter 77 / 176], [train main loss -0.113464], [lr 0.010000] [batchtime 0.415]
[epoch 0], [iter 78 / 176], [train main loss -0.102185], [lr 0.010000] [batchtime 0.415]
[epoch 0], [iter 79 / 176], [train main loss -0.117183], [lr 0.010000] [batchtime 0.414]
[epoch 0], [iter 80 / 176], [train main loss -0.095013], [lr 0.010000] [batchtime 0.414]
[epoch 0], [iter 81 / 176], [train main loss -0.102405], [lr 0.010000] [batchtime 0.414]
[epoch 0], [iter 82 / 176], [train main loss -0.128941], [lr 0.010000] [batchtime 0.413]
[epoch 0], [iter 83 / 176], [train main loss -0.150232], [lr 0.010000] [batchtime 0.413]
[epoch 0], [iter 84 / 176], [train main loss -0.132352], [lr 0.010000] [batchtime 0.413]
[epoch 0], [iter 85 / 176], [train main loss -0.104967], [lr 0.010000] [batchtime 0.413]
[epoch 0], [iter 86 / 176], [train main loss -0.121414], [lr 0.010000] [batchtime 0.413]
[epoch 0], [iter 87 / 176], [train main loss -0.106752], [lr 0.010000] [batchtime 0.412]
[epoch 0], [iter 88 / 176], [train main loss -0.114326], [lr 0.010000] [batchtime 0.412]
[epoch 0], [iter 89 / 176], [train main loss -0.120290], [lr 0.010000] [batchtime 0.414]
[epoch 0], [iter 90 / 176], [train main loss -0.120540], [lr 0.010000] [batchtime 0.429]
[epoch 0], [iter 91 / 176], [train main loss -0.116595], [lr 0.010000] [batchtime 0.428]
[epoch 0], [iter 92 / 176], [train main loss -0.108087], [lr 0.010000] [batchtime 0.428]
[epoch 0], [iter 93 / 176], [train main loss -0.123597], [lr 0.010000] [batchtime 0.427]
[epoch 0], [iter 94 / 176], [train main loss -0.127280], [lr 0.010000] [batchtime 0.427]
[epoch 0], [iter 95 / 176], [train main loss -0.139990], [lr 0.010000] [batchtime 0.426]
[epoch 0], [iter 96 / 176], [train main loss -0.133321], [lr 0.010000] [batchtime 0.426]
[epoch 0], [iter 97 / 176], [train main loss -0.128862], [lr 0.010000] [batchtime 0.426]
[epoch 0], [iter 98 / 176], [train main loss -0.087736], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 99 / 176], [train main loss -0.083436], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 100 / 176], [train main loss -0.104832], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 101 / 176], [train main loss -0.103657], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 102 / 176], [train main loss -0.086026], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 103 / 176], [train main loss -0.104766], [lr 0.010000] [batchtime 0.427]
[epoch 0], [iter 104 / 176], [train main loss -0.103997], [lr 0.010000] [batchtime 0.426]
[epoch 0], [iter 105 / 176], [train main loss -0.090584], [lr 0.010000] [batchtime 0.426]
[epoch 0], [iter 106 / 176], [train main loss -0.108509], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 107 / 176], [train main loss -0.133490], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 108 / 176], [train main loss -0.127850], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 109 / 176], [train main loss -0.133497], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 110 / 176], [train main loss -0.137592], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 111 / 176], [train main loss -0.107745], [lr 0.010000] [batchtime 0.425]
[epoch 0], [iter 112 / 176], [train main loss -0.114181], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 113 / 176], [train main loss -0.112709], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 114 / 176], [train main loss -0.113599], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 115 / 176], [train main loss -0.148084], [lr 0.010000] [batchtime 0.424]
[epoch 0], [iter 116 / 176], [train main loss -0.133737], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 117 / 176], [train main loss -0.125019], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 118 / 176], [train main loss -0.148354], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 119 / 176], [train main loss -0.175638], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 120 / 176], [train main loss -0.179126], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 121 / 176], [train main loss -0.188909], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 122 / 176], [train main loss -0.197232], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 123 / 176], [train main loss -0.209516], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 124 / 176], [train main loss -0.225159], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 125 / 176], [train main loss -0.232611], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 126 / 176], [train main loss -0.224109], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 127 / 176], [train main loss -0.222285], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 128 / 176], [train main loss -0.223397], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 129 / 176], [train main loss -0.217042], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 130 / 176], [train main loss -0.200638], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 131 / 176], [train main loss -0.207742], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 132 / 176], [train main loss -0.204744], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 133 / 176], [train main loss -0.206718], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 134 / 176], [train main loss -0.200209], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 135 / 176], [train main loss -0.192841], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 136 / 176], [train main loss -0.188845], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 137 / 176], [train main loss -0.198599], [lr 0.010000] [batchtime 0.423]
[epoch 0], [iter 138 / 176], [train main loss -0.209161], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 139 / 176], [train main loss -0.213244], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 140 / 176], [train main loss -0.205538], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 141 / 176], [train main loss -0.210538], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 142 / 176], [train main loss -0.224459], [lr 0.010000] [batchtime 0.422]
[epoch 0], [iter 143 / 176], [train main loss -0.215844], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 144 / 176], [train main loss -0.218150], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 145 / 176], [train main loss -0.209876], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 146 / 176], [train main loss -0.203628], [lr 0.010000] [batchtime 0.421]
[epoch 0], [iter 147 / 176], [train main loss -0.186351], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 148 / 176], [train main loss -0.189825], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 149 / 176], [train main loss -0.183632], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 150 / 176], [train main loss -0.190040], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 151 / 176], [train main loss -0.178089], [lr 0.010000] [batchtime 0.42]
[epoch 0], [iter 152 / 176], [train main loss -0.193294], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 153 / 176], [train main loss -0.193136], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 154 / 176], [train main loss -0.202908], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 155 / 176], [train main loss -0.194136], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 156 / 176], [train main loss -0.197085], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 157 / 176], [train main loss -0.206387], [lr 0.010000] [batchtime 0.419]
[epoch 0], [iter 158 / 176], [train main loss -0.207687], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 159 / 176], [train main loss -0.222850], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 160 / 176], [train main loss -0.215263], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 161 / 176], [train main loss -0.213138], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 162 / 176], [train main loss -0.212737], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 163 / 176], [train main loss -0.218462], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 164 / 176], [train main loss -0.211604], [lr 0.010000] [batchtime 0.418]
[epoch 0], [iter 165 / 176], [train main loss -0.214854], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 166 / 176], [train main loss -0.210989], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 167 / 176], [train main loss -0.203281], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 168 / 176], [train main loss -0.192662], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 169 / 176], [train main loss -0.186220], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 170 / 176], [train main loss -0.181908], [lr 0.010000] [batchtime 0.417]
[epoch 0], [iter 171 / 176], [train main loss -0.186068], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 172 / 176], [train main loss -0.177977], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 173 / 176], [train main loss -0.170305], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 174 / 176], [train main loss -0.180776], [lr 0.010000] [batchtime 0.416]
[epoch 0], [iter 175 / 176], [train main loss -0.177770], [lr 0.010000] [batchtime 0.415]
[epoch 0], [iter 176 / 176], [train main loss -0.180935], [lr 0.010000] [batchtime 0.415]
validating[Iter: 1 / 81]
validating[Iter: 21 / 81]
validating[Iter: 41 / 81]
validating[Iter: 61 / 81]
validating[Iter: 81 / 81]
IoU:
  Id  label            iU_1.0     TP           FP      FN    Precision    Recall
----  -------------  --------  -----  -----------  ------  -----------  --------
   0  road              69.25  35.24         0.03    0.41         0.97      0.71
   1  sidewalk           0.00   0.00  25883118.00   32.67         0.00      0.03
   2  building          34.83  11.82         1.25    0.62         0.44      0.62
   3  wall               0.00   0.00       inf     nan            0.00    nan
   4  fence              0.00   0.00       inf     nan            0.00    nan
   5  pole               0.00   0.00       inf     nan            0.00    nan
   6  traffic light      0.00   0.00       inf     nan            0.00    nan
   7  traffic sign       0.00   0.00       inf     nan            0.00    nan
   8  vegetation        37.86   9.91         0.25    1.39         0.80      0.42
   9  terrain            0.00   0.00       inf     nan            0.00    nan
  10  sky               57.57   3.32         0.17    0.57         0.86      0.64
  11  person             0.00   0.00       inf     nan            0.00    nan
  12  rider              0.00   0.00       inf     nan            0.00    nan
  13  car                9.67   0.81         7.73    1.61         0.11      0.38
  14  truck              0.00   0.00       inf     nan            0.00    nan
  15  bus                0.00   0.00       inf     nan            0.00    nan
  16  train              0.00   0.00       inf     nan            0.00    nan
  17  motorcycle         0.00   0.00       inf     nan            0.00    nan
  18  bicycle            0.00   0.00       inf     nan            0.00    nan
Mean: 11.01
-----------------------------------------------------------------------------------------------------------
this : [epoch 0], [val loss 1.29325], [acc 0.61100], [acc_cls 0.16777], [mean_iu 0.11009], [fwavacc 0.42030]
best : [epoch 0], [val loss 1.29325], [acc 0.61100], [acc_cls 0.16777], [mean_iu 0.11009], [fwavacc 0.42030]
-----------------------------------------------------------------------------------------------------------
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
[epoch 1], [iter 1 / 176], [train main loss -0.711205], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 2 / 176], [train main loss -2.893027], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 3 / 176], [train main loss -2.195601], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 4 / 176], [train main loss -2.329842], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 5 / 176], [train main loss -2.164031], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 6 / 176], [train main loss -2.039798], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 7 / 176], [train main loss -1.589975], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 8 / 176], [train main loss -1.843117], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 9 / 176], [train main loss -1.894553], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 10 / 176], [train main loss -1.407607], [lr 0.009943] [batchtime 0]
[epoch 1], [iter 11 / 176], [train main loss -1.428148], [lr 0.009943] [batchtime 0.362]
[epoch 1], [iter 12 / 176], [train main loss -1.336291], [lr 0.009943] [batchtime 0.377]
[epoch 1], [iter 13 / 176], [train main loss -1.424612], [lr 0.009943] [batchtime 0.384]
[epoch 1], [iter 14 / 176], [train main loss -1.615884], [lr 0.009943] [batchtime 0.39]
[epoch 1], [iter 15 / 176], [train main loss -1.502464], [lr 0.009943] [batchtime 0.393]
[epoch 1], [iter 16 / 176], [train main loss -1.629484], [lr 0.009943] [batchtime 0.394]
[epoch 1], [iter 17 / 176], [train main loss -1.535009], [lr 0.009943] [batchtime 0.395]
[epoch 1], [iter 18 / 176], [train main loss -1.356877], [lr 0.009943] [batchtime 0.397]
[epoch 1], [iter 19 / 176], [train main loss -1.430740], [lr 0.009943] [batchtime 0.4]
[epoch 1], [iter 20 / 176], [train main loss -1.457045], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 21 / 176], [train main loss -1.427378], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 22 / 176], [train main loss -1.337787], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 23 / 176], [train main loss -1.509461], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 24 / 176], [train main loss -1.471415], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 25 / 176], [train main loss -1.457578], [lr 0.009943] [batchtime 0.402]
[epoch 1], [iter 26 / 176], [train main loss -1.413693], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 27 / 176], [train main loss -1.332072], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 28 / 176], [train main loss -1.273134], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 29 / 176], [train main loss -1.211757], [lr 0.009943] [batchtime 0.401]
[epoch 1], [iter 30 / 176], [train main loss -1.192157], [lr 0.009943] [batchtime 0.478]
[epoch 1], [iter 31 / 176], [train main loss -1.048317], [lr 0.009943] [batchtime 0.481]
[epoch 1], [iter 32 / 176], [train main loss -1.023698], [lr 0.009943] [batchtime 0.478]
[epoch 1], [iter 33 / 176], [train main loss -0.976140], [lr 0.009943] [batchtime 0.475]
[epoch 1], [iter 34 / 176], [train main loss -0.986013], [lr 0.009943] [batchtime 0.471]
[epoch 1], [iter 35 / 176], [train main loss -0.899220], [lr 0.009943] [batchtime 0.469]
[epoch 1], [iter 36 / 176], [train main loss -0.875266], [lr 0.009943] [batchtime 0.465]
[epoch 1], [iter 37 / 176], [train main loss -0.929145], [lr 0.009943] [batchtime 0.463]
[epoch 1], [iter 38 / 176], [train main loss -0.878720], [lr 0.009943] [batchtime 0.461]
[epoch 1], [iter 39 / 176], [train main loss -0.929537], [lr 0.009943] [batchtime 0.459]
[epoch 1], [iter 40 / 176], [train main loss -0.928793], [lr 0.009943] [batchtime 0.457]
[epoch 1], [iter 41 / 176], [train main loss -0.936120], [lr 0.009943] [batchtime 0.455]
[epoch 1], [iter 42 / 176], [train main loss -0.918981], [lr 0.009943] [batchtime 0.454]
[epoch 1], [iter 43 / 176], [train main loss -0.899457], [lr 0.009943] [batchtime 0.452]
[epoch 1], [iter 44 / 176], [train main loss -0.904059], [lr 0.009943] [batchtime 0.45]
[epoch 1], [iter 45 / 176], [train main loss -0.878342], [lr 0.009943] [batchtime 0.449]
[epoch 1], [iter 46 / 176], [train main loss -0.901901], [lr 0.009943] [batchtime 0.448]
[epoch 1], [iter 47 / 176], [train main loss -0.941587], [lr 0.009943] [batchtime 0.446]
[epoch 1], [iter 48 / 176], [train main loss -0.917413], [lr 0.009943] [batchtime 0.445]
[epoch 1], [iter 49 / 176], [train main loss -0.970819], [lr 0.009943] [batchtime 0.444]
[epoch 1], [iter 50 / 176], [train main loss -0.917543], [lr 0.009943] [batchtime 0.443]
[epoch 1], [iter 51 / 176], [train main loss -0.864774], [lr 0.009943] [batchtime 0.442]
[epoch 1], [iter 52 / 176], [train main loss -0.906450], [lr 0.009943] [batchtime 0.441]
[epoch 1], [iter 53 / 176], [train main loss -0.920769], [lr 0.009943] [batchtime 0.439]
[epoch 1], [iter 54 / 176], [train main loss -0.897931], [lr 0.009943] [batchtime 0.439]
[epoch 1], [iter 55 / 176], [train main loss -0.894627], [lr 0.009943] [batchtime 0.438]
[epoch 1], [iter 56 / 176], [train main loss -0.831081], [lr 0.009943] [batchtime 0.437]
[epoch 1], [iter 57 / 176], [train main loss -0.862454], [lr 0.009943] [batchtime 0.436]
[epoch 1], [iter 58 / 176], [train main loss -0.882931], [lr 0.009943] [batchtime 0.436]
[epoch 1], [iter 59 / 176], [train main loss -0.900271], [lr 0.009943] [batchtime 0.435]
